2.22	1303.26	0.06
2.22	1444.44	0.06
2.23	1347.15	0.06
2.23	1394.10	0.06
2.26	1042.08	0.08
2.26	1196.78	0.07
2.26	1498.56	0.06
2.26	1498.56	0.06
2.27	1556.89	0.05
2.27	1556.89	0.05
2.27	1556.89	0.05
2.30	990.48	0.08
2.31	1042.08	0.08
2.31	1042.08	0.08
2.31	1619.94	0.05
2.31	1619.94	0.05
2.31	1619.94	0.05
2.32	1498.56	0.06
2.35	990.48	0.08
2.35	990.48	0.08
2.36	990.48	0.08
2.36	1556.89	0.05
2.36	1556.89	0.05
2.36	1556.89	0.05
2.36	1556.89	0.05
2.37	1556.89	0.05
2.40	966.54	0.09
2.40	1015.62	0.08
2.40	1556.89	0.05
2.41	1556.89	0.05
2.41	1556.89	0.05
2.41	1556.89	0.05
2.41	1498.56	0.06
2.42	1498.56	0.06
2.42	1498.56	0.06
2.44	1163.31	0.07
2.44	2139.92	0.04
2.46	1403.51	0.06
2.46	1403.51	0.06
2.47	1403.51	0.06
2.47	1403.51	0.06
2.47	1403.51	0.06
2.48	1232.23	0.07
2.48	1232.23	0.07
2.49	1232.23	0.07
2.49	1614.91	0.05
2.49	1614.91	0.05
2.50	2003.85	0.04
2.51	2003.85	0.04
2.51	2003.85	0.04
2.51	1908.26	0.04
2.52	1602.47	0.05
2.52	2000.00	0.04
2.53	1904.76	0.04
2.53	1904.76	0.04
2.54	1600.00	0.05
2.54	1538.46	0.05
2.55	1904.76	0.04
2.56	1538.46	0.05
2.56	1538.46	0.05
2.62	759.12	0.11
2.62	821.48	0.10
2.63	821.48	0.10
2.63	838.71	0.10
2.63	838.71	0.10
2.63	915.49	0.09
2.65	793.89	0.10
2.65	793.89	0.10
2.65	881.36	0.09
2.66	845.53	0.10
2.66	2039.22	0.04
2.67	1637.80	0.05
2.68	1637.80	0.05
2.68	1637.80	0.05
2.68	1518.25	0.05
2.69	1518.25	0.05
2.70	1704.92	0.05
2.70	1704.92	0.05
2.70	1704.92	0.05
2.70	1857.14	0.04
2.71	1637.80	0.05
2.71	2039.22	0.04
2.72	1777.78	0.05
2.72	1777.78	0.05
2.73	1943.93	0.04
2.73	1943.93	0.04
2.74	2039.22	0.04
2.76	1454.55	0.06
2.76	1454.55	0.06
2.76	1454.55	0.06
2.76	1625.00	0.05
2.77	1625.00	0.05
2.77	1759.73	0.05
2.77	1759.73	0.05
2.77	1759.73	0.05
2.78	1685.58	0.05
2.79	1674.72	0.05
2.79	2352.94	0.04
2.81	1617.42	0.05
2.81	1617.42	0.05
2.82	1554.56	0.05
2.82	1496.40	0.06
2.82	1554.56	0.05
2.83	1554.56	0.05
2.83	1554.56	0.05
2.83	1617.42	0.05
2.83	1929.50	0.04
2.83	2027.29	0.04
2.84	3333.33	0.02
2.84	3333.33	0.02
2.85	2255.97	0.04
2.86	2390.80	0.03
2.86	2390.80	0.03
2.86	2390.80	0.03
2.86	2390.80	0.03
2.88	1777.78	0.05
2.88	1777.78	0.05
2.88	1777.78	0.05
2.88	1777.78	0.05
2.88	1777.78	0.05
2.89	2536.59	0.03
2.89	2536.59	0.03
2.91	1777.78	0.05
2.91	1777.78	0.05
2.91	1777.78	0.05
2.91	2390.80	0.03
2.91	2390.80	0.03
2.92	2390.80	0.03
2.92	2390.80	0.03
2.93	1857.14	0.04
2.93	1857.14	0.04
2.93	1857.14	0.04
2.94	2701.30	0.03
2.94	2701.30	0.03
2.95	1857.14	0.04
2.96	1857.14	0.04
2.96	1857.14	0.04
2.96	1704.92	0.05
2.97	1704.92	0.05
2.97	2144.33	0.04
2.97	2144.33	0.04
2.97	2144.33	0.04
2.98	1943.93	0.04
2.99	1704.92	0.05
2.99	2260.87	0.04
2.99	2144.33	0.04
3.00	2144.33	0.04
3.00	2390.80	0.03
3.00	2390.80	0.03
3.01	1943.93	0.04
3.01	1943.93	0.04
3.02	1777.78	0.05
3.02	1857.14	0.04
3.03	2144.33	0.04
3.03	2260.87	0.04
3.04	2039.22	0.04
3.04	1943.93	0.04
3.05	1777.78	0.05
3.05	1777.78	0.05
3.05	2144.33	0.04
3.05	2144.33	0.04
